Year,Player,Position,Age,Team,Games,GamesStarted,MinutesPlayed,3Points,3PAttempts,2Points,2PAttempts,FreeThrows,FTAttempts,Fouls,Points
2017.0,Malcolm Brogdon,SG,24.0,MIL,75.0,,1982.0,,,212.0,442.0,109.0,126.0,140.0,767.0
2017.0,Aaron Brooks,PG,32.0,IND,65.0,0,894.0,,,73.0,172.0,32.0,40.0,93.0,322.0
2017.0,Anthony Brown,SF,24.0,TOT,11.0,0,159.0,,,11.0,23.0,0.0,0.0,15.0,43.0
2017.0,Anthony Brown,SF,24.0,NOP,9.0,0,143.0,,,8.0,17.0,0.0,0.0,13.0,34.0
2017.0,Anthony Brown,SF,24.0,ORL,2.0,0,16.0,1,,3.0,6.0,0.0,0.0,2.0,9.0
2017.0,Bobby Brown,PG,32.0,HOU,25.0,0,123.0,,,9.0,25.0,2.0,2.0,5.0,62.0
2017.0,Jaylen Brown,SF,20.0,BOS,78.0,,1341.0,,,146.0,288.0,85.0,124.0,142.0,515.0
2017.0,Nicolas Brussino,SF,23.0,DAL,54.0,,521.0,,,23.0,46.0,17.0,22.0,43.0,150.0
2017.0,Reggie Bullock,SF,25.0,DET,31.0,,467.0,,,26.0,55.0,5.0,7.0,22.0,141.0
2017.0,Trey Burke,PG,24.0,WAS,57.0,0,703.0,,,85.0,185.0,22.0,29.0,54.0,285.0
2017.0,Alec Burks,SG,25.0,UTA,42.0,0,653.0,,,74.0,172.0,60.0,78.0,50.0,283.0
2017.0,Jimmy Butler,SF,27.0,CHI,76.0,,2809.0,,,479.0,1004.0,585.0,676.0,112.0,1816.0
2017.0,Bruno Caboclo,SF,21.0,TOR,9.0,0,40.0,,,4.0,10.0,0.0,0.0,4.0,14.0
2017.0,Jose Calderon,PG,35.0,TOT,41.0,,539.0,,,35.0,70.0,11.0,12.0,36.0,141.0
2017.0,Jose Calderon,PG,35.0,LAL,24.0,,292.0,,,20.0,43.0,4.0,4.0,22.0,80.0
2017.0,Jose Calderon,PG,35.0,ATL,17.0,,247.0,,,15.0,27.0,7.0,8.0,14.0,61.0
2017.0,Kentavious Caldwell-Pope,SG,23.0,DET,76.0,,2529.0,,,217.0,491.0,154.0,185.0,118.0,1047.0
2017.0,Isaiah Canaan,SG,25.0,CHI,39.0,0,592.0,,,38.0,79.0,30.0,33.0,35.0,181.0
2017.0,Clint Capela,C,22.0,HOU,65.0,,1551.0,0,0,362.0,563.0,94.0,177.0,179.0,818.0
2017.0,DeMarre Carroll,SF,30.0,TOR,72.0,,1882.0,,,111.0,229.0,89.0,117.0,143.0,638.0
2017.0,Vince Carter,SF,40.0,MEM,73.0,,1799.0,,,81.0,194.0,88.0,115.0,163.0,586.0
2017.0,Michael Carter-Williams,PG,25.0,CHI,45.0,,846.0,,,97.0,242.0,58.0,77.0,102.0,297.0
2017.0,Omri Casspi,SF,28.0,TOT,36.0,,643.0,,,62.0,122.0,17.0,29.0,50.0,186.0
2017.0,Omri Casspi,SF,28.0,SAC,22.0,,397.0,,,42.0,88.0,12.0,21.0,23.0,129.0
2017.0,Omri Casspi,SF,28.0,NOP,1.0,0,24.0,,,3.0,5.0,0.0,0.0,3.0,12.0
2017.0,Omri Casspi,SF,28.0,MIN,13.0,0,222.0,,,17.0,29.0,5.0,8.0,24.0,45.0
2017.0,Willie Cauley-Stein,C,23.0,SAC,75.0,,1421.0,0,,255.0,479.0,101.0,151.0,147.0,611.0
2017.0,Tyson Chandler,C,34.0,PHO,47.0,,1298.0,0,0,153.0,228.0,91.0,124.0,126.0,397.0
2017.0,Wilson Chandler,SF,29.0,DEN,71.0,,2197.0,,,323.0,613.0,141.0,194.0,172.0,1117.0
2017.0,Marquese Chriss,PF,19.0,PHO,82.0,,1743.0,,,212.0,408.0,113.0,181.0,263.0,753.0
2017.0,Rakeem Christmas,PF,25.0,IND,29.0,0,219.0,0,0,19.0,43.0,21.0,29.0,37.0,59.0
2017.0,Semaj Christon,PG,24.0,OKC,64.0,1,973.0,,,65.0,160.0,17.0,31.0,79.0,183.0
2017.0,Ian Clark,SG,25.0,GSW,77.0,0,1137.0,,,150.0,270.0,44.0,58.0,77.0,527.0
2017.0,Jordan Clarkson,SG,24.0,LAL,82.0,,2397.0,,,360.0,715.0,134.0,168.0,150.0,1205.0
2017.0,Norris Cole,PG,28.0,OKC,13.0,0,125.0,,,13.0,39.0,8.0,10.0,18.0,43.0
2017.0,Darren Collison,PG,29.0,SAC,68.0,,2063.0,,,267.0,539.0,147.0,171.0,119.0,900.0
2017.0,Nick Collison,PF,36.0,OKC,20.0,0,128.0,0,1,14.0,22.0,5.0,8.0,17.0,33.0
2017.0,Mike Conley,PG,29.0,MEM,69.0,,2292.0,,,293.0,590.0,316.0,368.0,126.0,1415.0
2017.0,Pat Connaughton,SG,24.0,POR,39.0,1,316.0,,,20.0,39.0,7.0,9.0,23.0,98.0
2017.0,Quinn Cook,PG,23.0,TOT,14.0,0,188.0,,,22.0,40.0,2.0,5.0,13.0,79.0
